name,hour,continuous,EMERG,LDSHD,DAL
MOSELLE2.34591.1,1,400,410,425,440
MOSELLE2.34591.1,2,400,410,425,440
MOSELLE2.34591.1,3,400,410,425,440
MOSELLE2.34591.1,4,400,410,425,440
MOSELLE2.34591.1,5,400,410,425,440
MOSELLE2.34591.1,6,400,410,425,440
MOSELLE2.34591.1,7,400,410,425,440
MOSELLE2.34591.1,8,400,410,425,440
MOSELLE2.34591.1,9,400,410,425,440
MOSELLE2.34591.1,10,400,410,425,440
MOSELLE2.34591.1,11,400,410,425,440
MOSELLE2.34591.1,12,400,410,425,440
MOSELLE2.34591.1,13,400,410,425,440
MOSELLE2.34591.1,14,400,410,425,440
MOSELLE2.34591.1,15,400,410,425,440
MOSELLE2.34591.1,16,400,410,425,440
MOSELLE2.34591.1,17,400,410,425,440
MOSELLE2.34591.1,18,400,410,425,440
MOSELLE2.34591.1,19,400,410,425,440
MOSELLE2.34591.1,20,400,410,425,440
MOSELLE2.34591.1,21,400,410,425,440
MOSELLE2.34591.1,22,400,410,425,440
MOSELLE2.34591.1,23,400,410,425,440
MOSELLE2.34591.1,24,400,410,425,440
MOSELLE2.34591.1,25,400,410,425,440
MOSELLE2.34591.1,26,400,410,425,440
MOSELLE2.34591.1,27,400,410,425,440
MOSELLE2.34591.1,28,400,410,425,440
MOSELLE2.34591.1,29,400,410,425,440
MOSELLE2.34591.1,30,400,410,425,440
MOSELLE2.34591.1,31,400,410,425,440
MOSELLE2.34591.1,32,400,410,425,440
MOSELLE2.34591.1,33,400,410,425,440
MOSELLE2.34591.1,34,400,410,425,440
MOSELLE2.34591.1,35,400,410,425,440
MOSELLE2.34591.1,36,400,410,425,440
MOSELLE2.34591.1,37,400,410,425,440
MOSELLE2.34591.1,38,400,410,425,440
MOSELLE2.34591.1,39,400,410,425,440
MOSELLE2.34591.1,40,400,410,425,440
MOSELLE2.34591.1,41,400,410,425,440
MOSELLE2.34591.1,42,400,410,425,440
MOSELLE2.34591.1,43,400,410,425,440
MOSELLE2.34591.1,44,400,410,425,440
MOSELLE2.34591.1,45,400,410,425,440
MOSELLE2.34591.1,46,400,410,425,440
MOSELLE2.34591.1,47,400,410,425,440
MOSELLE2.34591.1,48,400,410,425,440
MOSELLE2.34591.1,49,400,410,425,440
MOSELLE2.34591.1,50,400,410,425,440
MOSELLE2.34591.1,51,400,410,425,440
MOSELLE2.34591.1,52,400,410,425,440
MOSELLE2.34591.1,53,400,410,425,440
MOSELLE2.34591.1,54,400,410,425,440
MOSELLE2.34591.1,55,400,410,425,440
MOSELLE2.34591.1,56,400,410,425,440
MOSELLE2.34591.1,57,400,410,425,440
MOSELLE2.34591.1,58,400,410,425,440
MOSELLE2.34591.1,59,400,410,425,440
MOSELLE2.34591.1,60,400,410,425,440
MOSELLE2.34591.1,61,400,410,425,440
MOSELLE2.34591.1,62,400,410,425,440
MOSELLE2.34591.1,63,400,410,425,440
MOSELLE2.34591.1,64,400,410,425,440
MOSELLE2.34591.1,65,400,410,425,440
MOSELLE2.34591.1,66,400,410,425,440
MOSELLE2.34591.1,67,400,410,425,440
MOSELLE2.34591.1,68,400,410,425,440
MOSELLE2.34591.1,69,400,410,425,440
MOSELLE2.34591.1,70,400,410,425,440
MOSELLE2.34591.1,71,400,410,425,440
MOSELLE2.34591.1,72,400,410,425,440
MOSELLE2.34591.1,73,400,410,425,440
MOSELLE2.34591.1,74,400,410,425,440
MOSELLE2.34591.1,75,400,410,425,440
MOSELLE2.34591.1,76,400,410,425,440
MOSELLE2.34591.1,77,400,410,425,440
MOSELLE2.34591.1,78,400,410,425,440
MOSELLE2.34591.1,79,400,410,425,440
MOSELLE2.34591.1,80,400,410,425,440
MOSELLE2.34591.1,81,400,410,425,440
MOSELLE2.34591.1,82,400,410,425,440
MOSELLE2.34591.1,83,400,410,425,440
MOSELLE2.34591.1,84,400,410,425,440
MOSELLE2.34591.1,85,400,410,425,440
MOSELLE2.34591.1,86,400,410,425,440
MOSELLE2.34591.1,87,400,410,425,440
MOSELLE2.34591.1,88,400,410,425,440
MOSELLE2.34591.1,89,400,410,425,440
MOSELLE2.34591.1,90,400,410,425,440
MOSELLE2.34591.1,91,400,410,425,440
MOSELLE2.34591.1,92,400,410,425,440
MOSELLE2.34591.1,93,400,410,425,440
MOSELLE2.34591.1,94,400,410,425,440
MOSELLE2.34591.1,95,400,410,425,440
MOSELLE2.34591.1,96,400,410,425,440
MOSELLE2.34591.1,97,400,410,425,440
MOSELLE2.34591.1,98,400,410,425,440
MOSELLE2.34591.1,99,400,410,425,440
MOSELLE2.34591.1,100,400,410,425,440
MOSELLE2.34591.1,101,400,410,425,440
MOSELLE2.34591.1,102,400,410,425,440
MOSELLE2.34591.1,103,400,410,425,440
MOSELLE2.34591.1,104,400,410,425,440
MOSELLE2.34591.1,105,400,410,425,440
MOSELLE2.34591.1,106,400,410,425,440
MOSELLE2.34591.1,107,400,410,425,440
MOSELLE2.34591.1,108,400,410,425,440
MOSELLE2.34591.1,109,400,410,425,440
MOSELLE2.34591.1,110,400,410,425,440
MOSELLE2.34591.1,111,400,410,425,440
MOSELLE2.34591.1,112,400,410,425,440
MOSELLE2.34591.1,113,400,410,425,440
MOSELLE2.34591.1,114,400,410,425,440
MOSELLE2.34591.1,115,400,410,425,440
MOSELLE2.34591.1,116,400,410,425,440
MOSELLE2.34591.1,117,400,410,425,440
MOSELLE2.34591.1,118,400,410,425,440
MOSELLE2.34591.1,119,400,410,425,440
MOSELLE2.34591.1,120,400,410,425,440
MOSELLE2.34591.1,121,400,410,425,440
MOSELLE2.34591.1,122,400,410,425,440
MOSELLE2.34591.1,123,400,410,425,440
MOSELLE2.34591.1,124,400,410,425,440
MOSELLE2.34591.1,125,400,410,425,440
MOSELLE2.34591.1,126,400,410,425,440
MOSELLE2.34591.1,127,400,410,425,440
MOSELLE2.34591.1,128,400,410,425,440
MOSELLE2.34591.1,129,400,410,425,440
MOSELLE2.34591.1,130,400,410,425,440
MOSELLE2.34591.1,131,400,410,425,440
MOSELLE2.34591.1,132,400,410,425,440
MOSELLE2.34591.1,133,400,410,425,440
MOSELLE2.34591.1,134,400,410,425,440
MOSELLE2.34591.1,135,400,410,425,440
MOSELLE2.34591.1,136,400,410,425,440
MOSELLE2.34591.1,137,400,410,425,440
MOSELLE2.34591.1,138,400,410,425,440
MOSELLE2.34591.1,139,400,410,425,440
MOSELLE2.34591.1,140,400,410,425,440
